quarks,B,S,J,status,dE
uddcUC,0.6666666666666666,0,0.0,Allowed,-96.52276499999999
uddcUC,0.6666666666666666,0,1.0,Allowed,-96.274572
uddcUC,0.6666666666666666,0,2.0,Allowed,-96.026379
uddcUC,0.6666666666666666,0,3.0,Allowed,-95.778186
uddcUB,0.6666666666666666,0,0.0,Allowed,-93.622765
uddcUB,0.6666666666666666,0,1.0,Allowed,-93.374572
uddcUB,0.6666666666666666,0,2.0,Allowed,-93.126379
uddcUB,0.6666666666666666,0,3.0,Allowed,-92.878186
uddcDD,0.6666666666666666,0,0.0,Allowed,-97.802765
uddcDD,0.6666666666666666,0,1.0,Allowed,-97.554572
uddcDD,0.6666666666666666,0,2.0,Allowed,-97.30637899999999
uddcDD,0.6666666666666666,0,3.0,Allowed,-97.058186
uddcDS,0.6666666666666666,1,0.0,Allowed,-97.690931
uddcDS,0.6666666666666666,1,1.0,Allowed,-97.442738
uddcDS,0.6666666666666666,1,2.0,Allowed,-97.194545
uddcDS,0.6666666666666666,1,3.0,Allowed,-96.946352
uddcDC,0.6666666666666666,0,0.0,Allowed,-96.52276499999999
uddcDC,0.6666666666666666,0,1.0,Allowed,-96.274572
uddcDC,0.6666666666666666,0,2.0,Allowed,-96.026379
uddcDC,0.6666666666666666,0,3.0,Allowed,-95.778186
uddcDB,0.6666666666666666,0,0.0,Allowed,-93.622765
uddcDB,0.6666666666666666,0,1.0,Allowed,-93.374572
uddcDB,0.6666666666666666,0,2.0,Allowed,-93.126379
uddcDB,0.6666666666666666,0,3.0,Allowed,-92.878186
uddcSS,0.6666666666666666,2,0.0,Allowed,-97.579097
uddcSS,0.6666666666666666,2,1.0,Allowed,-97.330904
uddcSS,0.6666666666666666,2,2.0,Allowed,-97.082711
uddcSS,0.6666666666666666,2,3.0,Allowed,-96.834518
uddcSC,0.6666666666666666,1,0.0,Allowed,-96.410931
uddcSC,0.6666666666666666,1,1.0,Allowed,-96.162738
uddcSC,0.6666666666666666,1,2.0,Allowed,-95.914545
uddcSC,0.6666666666666666,1,3.0,Allowed,-95.666352
uddcSB,0.6666666666666666,1,0.0,Allowed,-93.510931
uddcSB,0.6666666666666666,1,1.0,Allowed,-93.262738
uddcSB,0.6666666666666666,1,2.0,Allowed,-93.014545
uddcSB,0.6666666666666666,1,3.0,Allowed,-92.766352
uddcCC,0.6666666666666666,0,0.0,Allowed,-94.992765
uddcCC,0.6666666666666666,0,1.0,Allowed,-94.744572
uddcCC,0.6666666666666666,0,2.0,Allowed,-94.496379
uddcCC,0.6666666666666666,0,3.0,Allowed,-94.248186
uddcCB,0.6666666666666666,0,0.0,Allowed,-92.092765
uddcCB,0.6666666666666666,0,1.0,Allowed,-91.844572
uddcCB,0.6666666666666666,0,2.0,Allowed,-91.596379
uddcCB,0.6666666666666666,0,3.0,Allowed,-91.348186
uddcBB,0.6666666666666666,0,0.0,Allowed,-89.19276500000001
uddcBB,0.6666666666666666,0,1.0,Allowed,-88.944572
uddcBB,0.6666666666666666,0,2.0,Allowed,-88.69637900000001
uddcBB,0.6666666666666666,0,3.0,Allowed,-88.448186
uddbbb,2.0,0,0.0,Allowed,-86.256565
uddbbb,2.0,0,1.0,Allowed,-86.00837200000001
uddbbb,2.0,0,2.0,Allowed,-85.760179
uddbbb,2.0,0,3.0,Allowed,-85.51198600000001
uddbbU,1.3333333333333333,0,0.0,Allowed,-90.784665
uddbbU,1.3333333333333333,0,1.0,Allowed,-90.536472
uddbbU,1.3333333333333333,0,2.0,Allowed,-90.288279
uddbbU,1.3333333333333333,0,3.0,Allowed,-90.040086
uddbbD,1.3333333333333333,0,0.0,Allowed,-90.784665
uddbbD,1.3333333333333333,0,1.0,Allowed,-90.536472
uddbbD,1.3333333333333333,0,2.0,Allowed,-90.288279
uddbbD,1.3333333333333333,0,3.0,Allowed,-90.040086
